<<Tax Map Parcel Number>>,Tax Map 1st Num,<<Parcel Street Address1>>,<<Parcel Street Address2>>,Application Type:,Application Status,Changes to Application,<<Last Application Year>>,<<Expiration Date>>,<<Current square footage of impervious surface >>,<<Billing Units>>,Billing Rate,<<Credit Percent>>,<<Original Fee>>,<<Credit Amount>>,<<New Fee>>,Septic Connection Credit,Disconnected Downspouts,Rain Garden,Vegetated Filter Strip,Rain Barrel,Tree Cover,Conservation Landscaping,Nutrient Management Plan,<<Credit Items>>,"Roof Area
(For reporting disconnects)","Rain Barrel Area
(for reporting Rain Barrels)","Pervious Area
(For reporting NMP)"
40_Z_54-55,40,895 N Liberty St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 3,546.61 ",7,$6.00,20%, $42.00 , $8.40 , $33.60 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"4,000.00"
40_B_20,40,207 Suter St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 4,237.63 ",8,$6.00,40%, $48.00 , $19.20 , $28.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,318.00",,"6,313.00"
40_B_21,40,931 Jefferson St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,596.39 ",5,$6.00,20%, $30.00 , $6.00 , $24.00 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"5,333.00"
40_L_8,40,880 Collicello St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,816.29 ",6,$6.00,30%, $36.00 , $10.80 , $25.20 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,000.00",,"1,000.00"
40_N_4,40,724 N Liberty St,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2016,6/30/2021," 1,487.92 ",3,$6.00,0%, $18.00 , $-   , $18.00 ,,,,,,,,,* ,,,
40_U_3,40,632 Collicello St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 1,933.25 ",4,$6.00,40%, $24.00 , $9.60 , $14.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,050.00",,"13,425.00"
40_U_4,40,634 Collicello St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 1,224.86 ",2,$6.00,40%, $12.00 , $4.80 , $7.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,875.00,,"9,962.00"
"41_G_64,65,66",41,1041 Moore St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 2,356.85 ",5,$6.00,40%, $30.00 , $12.00 , $18.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,164.00",,"12,304.00"
41_R_47,41,1210 Commercial Ct,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 1,695.96 ",3,$6.00,0%, $18.00 , $-   , $18.00 ,,10%,,,20%,,,10%,* 50% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,,,
41_R_50,41,1216 Commercial Ct,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 1,953.72 ",4,$6.00,0%, $24.00 , $-   , $24.00 ,,10%,,,20%,,,10%,* 50% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,,,
41_R_93,41,114 Commerce Dr,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 1,245.25 ",2,$6.00,0%, $12.00 , $-   , $12.00 ,,10%,,,20%,,,10%,* 50% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,,,
41_N_3,41,722 N Main St,"Harrisonburg, VA 22802",Credit Application,Expired,,2016,6/30/2021," 2,471.91 ",5,$6.00,0%, $30.00 , $-   , $30.00 ,,,,,,,,,* ,,,
41_F_23-24,41,130 Clinton St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 4,455.44 ",9,$6.00,30%, $54.00 , $16.20 , $37.80 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,203.00",,"3,600.00"
42_G_6,42,1251 Wordsworth Ct,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,388.24 ",3,$6.00,30%, $18.00 , $5.40 , $12.60 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,750.00,,"2,900.00"
42_G_9,42,1235 Wordsworth Ct,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 2,646.33 ",5,$6.00,40%, $30.00 , $12.00 , $18.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,250.00",,"1,520.00"
42_O_10,42,1273 Old Richmond Cir,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,539.21 ",3,$6.00,20%, $18.00 , $3.60 , $14.40 ,,20%,,,,,,,* 100% Disconnected Downspouts * ,650.00,,
42_D_1,42,1040 Moore St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 4,922.25 ",10,$6.00,50%, $60.00 , $30.00 , $30.00 ,,10%,,,20%,10%,,10%,* 50% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,,400.00,"3,000.00"
42_G_7,42,1247 Wordsworth Ct,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 2,978.60 ",6,$6.00,40%, $36.00 , $14.40 , $21.60 ,,10%,,,20%,10%,,,* 50% Disconnected Downspouts * Rain Barrel * Tree Cover * ,,800.00,
47_C_157,47,1021 Taliaferro Dr,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 3,056.98 ",6,$6.00,0%, $36.00 , $-   , $36.00 ,,20%,,,,10%,10%,10%,* 100% Disconnected Downspouts * Tree Cover * Conservation Landscaping * Nutrient Management Plan * ,,,
47_A_82,47,1014 Taliaferro Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,691.41 ",5,$6.00,30%, $30.00 , $9.00 , $21.00 ,,20%,,,,10%,,,* 100% Disconnected Downspouts * Tree Cover * ,"1,452.00",,
47_C_157,47,1021 Taliaferro Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 3,056.98 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,,20%,,,,10%,10%,10%,* 100% Disconnected Downspouts * Tree Cover * Conservation Landscaping * Nutrient Management Plan * ,"1,789.00",,"13,222.00"
48_A_21,48,5 Village Square,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,448.25 ",3,$6.00,40%, $18.00 , $7.20 , $10.80 ,,,,,20%,10%,,10%,* Rain Barrel * Tree Cover * Nutrient Management Plan * ,,450.00,DNR
48_C_10-11,48,1081 Smith Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 9,764.08 ",20,$6.00,50%, $120.00 , $60.00 , $60.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"3,400.00",700.00,"17,000.00"
48_C_3,48,1091 Smith Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 2,609.00 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"1,304.00",814.00,"17,403.00"
48_D_40,48,1057 Park Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 2,383.28 ",5,$6.00,40%, $30.00 , $12.00 , $18.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,080.00",,"5,300.00"
48_F_21,48,947 Central Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 2,516.82 ",5,$6.00,40%, $30.00 , $12.00 , $18.00 ,,,,,20%,10%,,10%,* Rain Barrel * Tree Cover * Nutrient Management Plan * ,,718.30,"5,497.00"
48_G_6,48,1250 Greystone St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,764.30 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,,10%,,,20%,10%,,10%,* 50% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,,250.00,"4,070.00"
48_G_7,48,1240 Greystone St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 3,453.63 ",7,$6.00,50%, $42.00 , $21.00 , $21.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"3,000.00","1,000.00","1,500.00"
48_G_7A,48,1230 Greystone St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 3,510.80 ",7,$6.00,30%, $42.00 , $12.60 , $29.40 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"2,000.00"
48_C_17A,48,1066 Smith Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 4,518.51 ",9,$6.00,30%, $54.00 , $16.20 , $37.80 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,600.00",,"8,300.00"
48_F_20,48,"953, 955, 957 Central Ave","Harrisonburg, VA 22802",Credit Application,Approved,,2023,6/30/2028," 7,184.55 ",14,$6.00,40%, $84.00 , $33.60 , $50.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,050.00",,"1,500.00"
48_D_17,48,"1046, 1050 Shenandoah St","Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2017,6/30/2022," 6,832.35 ",14,$6.00,0%, $84.00 , $-   , $84.00 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"4,500.00"
48_D_18,48,"1040, 1042 Shenandoah St","Harrisonburg, VA 22802",Credit Application,Approved,,2023,6/30/2028," 4,427.56 ",9,$6.00,20%, $54.00 , $10.80 , $43.20 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"2,400.00"
48_F_4,48,"910, 912 College Ave","Harrisonburg, VA 22802",Credit Application,Approved,,2023,6/30/2028," 4,900.15 ",10,$6.00,30%, $60.00 , $18.00 , $42.00 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,380.00",,"3,731.00"
48_F_3,48,900 College Ave,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2017,6/30/2022," 2,219.99 ",4,$6.00,0%, $24.00 , $-   , $24.00 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"4,000.00"
48_D_15,48,1110 Shenandoah St,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2017,6/30/2022," 3,308.43 ",7,$6.00,0%, $42.00 , $-   , $42.00 ,,,,,,10%,,,* Tree Cover * ,,425.00,"3,500.00"
48_C_13,48,1037 Smith Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2023,6/30/2028," 4,582.79 ",9,$6.00,50%, $54.00 , $27.00 , $27.00 ,,20%,,,20%,10%,,,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * ,"1,351.00",55.00,
49_A_6,49,1318 Greystone St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 4,064.62 ",8,$6.00,20%, $48.00 , $9.60 , $38.40 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"14,000.00"
49_B_7,49,947 Summit Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 6,350.35 ",13,$6.00,50%, $78.00 , $39.00 , $39.00 ,,20%,,,20%,,10%,10%,* 100% Disconnected Downspouts * Rain Barrel * Conservation Landscaping * Nutrient Management Plan * ,"1,070.00","1,070.00","10,300.00"
50_B_14,50,1250 Ivy Ln,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 6,187.51 ",12,$6.00,20%, $72.00 , $14.40 , $57.60 ,,20%,,,,,,,* 100% Disconnected Downspouts * ,"2,137.00",,
51_C_2,51,1515 Park Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 4,747.05 ",9,$6.00,50%, $54.00 , $27.00 , $27.00 ,,20%,,,20%,10%,,,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * ,"2,000.00","1,560.00",
51_F_1,51,1611 College Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 5,571.09 ",11,$6.00,30%, $66.00 , $19.80 , $46.20 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"3,352.00",,"11,625.20"
51_G_24,51,1528 Hillcrest Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 4,073.56 ",8,$6.00,20%, $48.00 , $9.60 , $38.40 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"8,250.00"
51_G_9,51,1545 Shank Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 3,625.33 ",7,$6.00,30%, $42.00 , $12.60 , $29.40 ,,20%,,,,10%,,,* 100% Disconnected Downspouts * Tree Cover * ,"1,568.00",,
51_K_3-5,51,1309 Hillcrest Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 6,683.77 ",13,$6.00,50%, $78.00 , $39.00 , $39.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"1,693.00",528.00,"13,750.00"
51_C_4,51,1520 College Ave,"Harrisonburg, VA 22802",Credit Application,Expired,,2016,6/30/2021," 2,771.88 ",6,$6.00,0%, $36.00 , $-   , $36.00 ,,,,,,,,,* ,,,
"51_D_7,8",51,1542 College Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2023,6/30/2028," 5,429.48 ",11,$6.00,40%, $66.00 , $26.40 , $39.60 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,725.00",,"6,700.00"
51_H_19,51,1520 Hillcrest Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2019,6/30/2024," 3,906.16 ",8,$6.00,50%, $48.00 , $24.00 , $24.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"2,520.00","1,260.00","5,492.00"
52_G_1,52,1550 College Ave,"Harrisonburg, VA 22802",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 3,550.79 ",7,$6.00,0%, $42.00 , $-   , $42.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,
52_G_3,52,1570 College Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 3,340.57 ",7,$6.00,30%, $42.00 , $12.60 , $29.40 ,,20%,,,,,10%,,* 100% Disconnected Downspouts * Conservation Landscaping * ,"1,769.00",,
52_C_9,52,1181 Sharon Ln,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,114.52 ",4,$6.00,50%, $24.00 , $12.00 , $12.00 ,,20%,,,20%,,10%,10%,* 100% Disconnected Downspouts * Rain Barrel * Conservation Landscaping * Nutrient Management Plan * ,"1,390.00",750.00,"1,890.00"
53_B_29,53,1287 Harmony Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 10,326.34 ",21,$6.00,50%, $126.00 , $63.00 , $63.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"3,382.00",,"1,524.00"
53_G_1,53,1280 Harmony Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 6,185.64 ",12,$6.00,40%, $72.00 , $28.80 , $43.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,800.00",,"11,600.00"
53_L_19,53,2213 Lake Terrace Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 3,133.39 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,,20%,25%,,,10%,,10%,* 100% Disconnected Downspouts * Rain Garden * Tree Cover * Nutrient Management Plan * ,"2,598.00",,"7,328.40"
53_N_35,53,1280 Old Windmill Cir,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 2,144.71 ",4,$6.00,0%, $24.00 , $-   , $24.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,,,
53_N_5,53,1202 Old Windmill Cir,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,963.99 ",4,$6.00,20%, $24.00 , $4.80 , $19.20 ,,20%,,,,,,,* 100% Disconnected Downspouts * ,669.00,,
53_O_11,53,1967 Buttonwood Ct,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 2,514.70 ",5,$6.00,0%, $30.00 , $-   , $30.00 ,,20%,,,,,10%,10%,* 100% Disconnected Downspouts * Conservation Landscaping * Nutrient Management Plan * ,,,
53_O_38,53,1946 Buttonwood Ct,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 5,732.60 ",11,$6.00,50%, $66.00 , $33.00 , $33.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,731.00,365.00,"5,625.00"
53_O_4,53,1933 Buttonwood Ct,"Harrisonburg, VA 22802",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 2,007.69 ",4,$6.00,0%, $24.00 , $-   , $24.00 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,,,
53_O_5,53,1937 Buttonwood Ct,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 1,999.58 ",4,$6.00,0%, $24.00 , $-   , $24.00 ,,,,,,,,,* ,,,
53_O_39,53,1950 Buttonwod Ct,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 1,992.64 ",4,$6.00,20%, $24.00 , $4.80 , $19.20 ,,,,,20%,,,,* Rain Barrel * ,,700.00,
53_O_5,53,1937 Buttonwood Ct,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,999.58 ",4,$6.00,30%, $24.00 , $7.20 , $16.80 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,870.00,,"1,140.00"
53_G_4,53,1832 College Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 7,549.55 ",15,$6.00,30%, $90.00 , $27.00 , $63.00 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"4,000.00",,"7,200.00"
53_G_19,53,1829 Park Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 6,189.94 ",12,$6.00,30%, $72.00 , $21.60 , $50.40 ,,,,,20%,,,10%,* Rain Barrel * Nutrient Management Plan * ,,"2,637.00","34,500.00"
53_H_6,53,1833 College Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 4,557.70 ",9,$6.00,40%, $54.00 , $21.60 , $32.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"3,320.00",,"6,500.00"
53_B_26,53,1631 Park Rd,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2016,6/30/2021," 3,015.49 ",6,$6.00,0%, $36.00 , $-   , $36.00 ,,,,,,,,,* ,,,
53_O_43,53,1966 Buttonwood Ct,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,536.24 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,20%,,,20%,,10%,,* 100% Disconnected Downspouts * Rain Barrel * Conservation Landscaping * ,"1,200.00",600.00,
62_A_1,62,1310 Old Furnace Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 3,459.26 ",7,$6.00,50%, $42.00 , $21.00 , $21.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"3,400.00","3,000.00","522,720.00"
62_E_106,62,1132 Patrick Henry Pl ,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 1,457.35 ",3,$6.00,30%, $18.00 , $5.40 , $12.60 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,600.00,,
62_E_119,62,1115 Patrick Henry Pl,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 1,465.70 ",3,$6.00,20%, $18.00 , $3.60 , $14.40 ,,20%,,,,,,,* 100% Disconnected Downspouts * ,700.00,,
64_A_4,64,1366 Smithland Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 5,460.45 ",11,$6.00,40%, $66.00 , $26.40 , $39.60 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,240.00",,"73,000.00"
64_A_6,64,1320 Smithland Rd,"Harrisonburg, VA 22802",Septic Credit,Approved-DNE,,DNE-2020,DNE," 1,481.21 ",3,$6.00,50%, $18.00 , $9.00 , $9.00 ,50.00%,,,,,,,,* Septic Connection Credit * ,,,
64_B_1,64,1341 Smithland Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 7,061.84 ",14,$6.00,40%, $84.00 , $33.60 , $50.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,290.80",,"66,701.00"
64_B_4,64,1270 Smithland Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 11,303.09 ",23,$6.00,40%, $138.00 , $55.20 , $82.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"3,832.00",,"177,000.00"
64_B_5,64,1264 Smithland Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 15,673.80 ",31,$6.00,50%, $186.00 , $93.00 , $93.00 ,,10%,,,20%,10%,,10%,* 50% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,,85.00,"217,800.00"
65_A_9,65,945 Smithland Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 16,681.76 ",33,$6.00,50%, $198.00 , $99.00 , $99.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"1,200.00",800.00,"100,000.00"
65_B_7,65,930 Smithland Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,195.05 ",4,$6.00,40%, $24.00 , $9.60 , $14.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,200.00",,"18,875.00"
65_B_6A,65,960 Smithland Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,742.01 ",5,$6.00,40%, $30.00 , $12.00 , $18.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,450.00",,"5,847.00"
69_A_48,69,342 Par Ln,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 10,509.34 ",21,$6.00,40%, $126.00 , $50.40 , $75.60 ,,20%,,,,10%,10%,,* 100% Disconnected Downspouts * Tree Cover * Conservation Landscaping * ,"3,400.00",,
70_B_1,70,785 Keezletown Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 5,765.57 ",12,$6.00,30%, $72.00 , $21.60 , $50.40 ,,,,,20%,,,10%,* Rain Barrel * Nutrient Management Plan * ,,614.00,"14,598.00"
70_B_13,70,830 Sandtrap Ln,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 6,064.45 ",12,$6.00,40%, $72.00 , $28.80 , $43.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,487.00",,"7,000.00"
70_B_6,70,833 Sandtrap Ln,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 7,373.66 ",15,$6.00,40%, $90.00 , $36.00 , $54.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"4,000.00",,"5,600.00"
70_B_5,70,825 Sandtrap Ln,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 7,728.41 ",15,$6.00,30%, $90.00 , $27.00 , $63.00 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"3,600.00",,"14,500.00"
71_A_6,71,1165 Smithland Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 3,380.50 ",7,$6.00,40%, $42.00 , $16.80 , $25.20 ,,20%,,,,,10%,10%,* 100% Disconnected Downspouts * Conservation Landscaping * Nutrient Management Plan * ,"1,640.00",,"2,935.00"
71_A_2,71,1241 Smithland Rd,"Harrisonburg, VA 22802",Septic Credit,Approved-DNE,,DNE-2019,DNE," 2,895.78 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,50%,,,,,,,,* Septic Connection Credit * ,,,
73_A_12,73,735 Keezletown Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 3,843.21 ",8,$6.00,50%, $48.00 , $24.00 , $24.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"1,812.00",288.00,"9,800.00"
"77_C_61, 62",77,256 Blue Stone Hills Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 34,755.70 ",70,$6.00,10%, $420.00 , $42.00 , $378.00 ,,,,,,10%,,,* Tree Cover * ,,,
77_J_16,77,138 Emerald Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,816.09 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"1,774.00",755.00,"1,700.00"
77_L_10,77,257 Emerald Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,329.56 ",5,$6.00,20%, $30.00 , $6.00 , $24.00 ,,,,,,10%,10%,,* Tree Cover * Conservation Landscaping * ,,,
77_B_4-5,77,132 Diamond Ct,"Harrisonburg, VA 22802",Credit Application,Expired,,2016,6/30/2021," 11,201.17 ",22,$6.00,0%, $132.00 , $-   , $132.00 ,,,,,,,,,* ,,,
77_D_44,77,169 Blue Stone Hills Dr,"Harrisonburg, VA 22801",Credit Application,Expired,Moved-Credit Removed,2016,6/30/2021," 3,454.21 ",7,$6.00,0%, $42.00 , $-   , $42.00 ,,,,,,,,,* ,,,
77_B_28,77,137 Diamond Ct,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 3,691.62 ",7,$6.00,40%, $42.00 , $16.80 , $25.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,686.00",,"7,400.00"
